the,1973,1636,1932,2374
to,1550,1332,1287,1790
a,1442,1520,1658,1757
of,1295,1131,1245,1622
that,1159,1011,1047,1520
and,1169,1004,1170,1428
in,929,943,1015,1249
i,772,728,678,1094
we,1062,1288,1020,1024
is,881,737,733,775
he,652,538,786,644
it,592,463,481,592
they,622,585,484,466
on,366,330,410,460
with,357,418,404,459
have,381,469,384,442
are,610,702,428,437
for,366,361,432,432
be,356,332,291,382
game,298,213,237,376
but,267,240,274,364
at,322,305,273,351
some,246,276,235,331
was,262,179,222,324
obviously,7,33,151,322
not,263,238,242,307
you,380,344,256,303
think,222,206,192,301
our,247,239,270,300
as,266,227,307,281
things,131,166,134,270
an,176,150,202,267
this,338,281,250,266
guys,211,213,218,266
from,159,149,150,265
do,192,181,158,264
has,214,213,280,250
him,261,243,241,249
us,225,243,249,248
he's,234,274,193,248
it's,180,141,185,228
that's,134,106,137,226
his,188,194,207,224
like,170,128,128,220
about,219,179,199,216
what,214,240,215,215
those,193,177,186,213
their,196,183,236,212
week,233,186,215,206
been,147,145,172,205
going,334,227,171,204
play,243,160,155,196
will,143,301,255,192
there,149,128,112,189
football,271,199,195,187
or,198,133,154,186
really,149,93,90,182
them,187,178,160,176
had,130,106,118,168
all,105,97,118,165
so,168,117,110,161
just,141,114,124,155
good,223,162,154,153
guy,147,121,136,152
get,139,118,116,151
time,118,87,100,142
work,55,53,94,138
we're,119,3,130,131
were,102,90,109,131
lot,92,77,71,131
out,134,106,119,130
very,121,161,110,130
ball,115,77,105,127
standpoint,55,46,39,119
when,178,130,129,118
capable,87,85,115,118
got,155,37,82,117
thought,80,72,89,115
terms,76,112,100,114
last,104,78,99,114
field,77,64,70,114
up,95,95,104,113
doing,65,102,52,112
don't,115,113,101,111
plays,115,60,89,107
my,28,21,30,107
one,111,77,100,106
people,91,55,50,102
if,124,154,103,100
can,108,67,99,100
how,97,107,85,97
opportunity,87,48,79,97
did,88,67,76,96
over,44,45,60,94
i'm,59,10,85,88
because,81,66,49,86
back,95,96,76,84
great,84,68,69,84
only,41,48,48,84
more,82,80,84,80
also,34,53,62,80
way,48,43,39,80
job,78,97,109,79
playing,118,107,83,79
young,68,74,47,79
we've,52,36,66,78
look,53,66,45,77
big,78,62,86,75
no,99,74,53,74
didn't,63,55,58,73
getting,61,51,56,72
forward,32,44,41,70
well,85,85,59,69
position,57,68,53,68
than,89,70,88,67
better,82,69,58,66
played,73,61,42,66
player,55,45,40,66
any,43,47,58,64
group,43,50,47,64
part,55,37,40,64
am,103,97,22,64
year,82,46,52,63
need,42,50,42,63
which,43,18,36,63
probably,82,52,29,63
know,95,94,70,62
down,99,55,58,62
make,76,54,52,62
teams,52,58,43,62
continue,31,40,39,62
nice,76,113,86,60
particularly,46,51,66,60
into,68,56,61,60
see,94,90,76,59
team,122,67,70,59
where,69,59,63,59
run,52,63,56,58
able,56,45,43,58
off,48,41,39,58
by,77,63,71,57
course,117,64,58,57
being,52,61,57,57
both,42,34,37,57
other,67,65,51,56
working,16,25,29,56
right,45,71,57,55
would,44,46,32,55
end,53,43,43,54
here,68,55,63,52
defense,43,45,63,52
could,26,20,46,52
solid,11,33,30,52
regards,12,15,21,52
two,76,40,54,51
me,31,19,17,51
point,34,37,48,50
number,41,23,48,50
talented,21,40,46,50
done,38,65,57,49
we'll,43,9,54,49
said,29,33,23,49
performance,24,47,40,48
deal,30,45,33,48
circumstances,22,19,24,48
season,39,34,63,47
go,76,32,48,47
sure,52,39,29,47
they've,45,43,26,47
significant,32,23,21,47
same,36,32,48,46
line,43,36,36,46
quality,35,39,25,46
approach,18,12,10,46
who,75,67,55,45
win,50,42,38,45
front,40,51,36,45
start,25,53,35,45
take,44,33,33,45
enough,21,36,28,45
want,51,30,21,45
short,27,19,18,45
injury,28,61,66,44
put,63,45,47,44
looking,23,35,34,44
return,17,20,37,43
special,30,50,39,42
kind,53,31,25,42
always,62,43,60,41
offense,14,36,40,41
three,37,33,31,41
years,20,35,35,40
weeks,29,33,32,40
you're,37,4,27,40
something,24,33,21,40
tight,27,24,21,39
even,21,22,19,39
through,28,26,34,38
new,49,43,19,38
set,13,12,19,38
still,29,23,33,37
after,30,29,27,37
i'll,14,11,11,37
circumstance,5,3,4,37
running,36,46,42,36
quarterback,41,28,40,36
preparation,30,28,32,36
type,10,12,22,36
personnel,12,6,18,36
skill,9,9,14,36
why,26,18,38,35
i've,18,13,34,35
come,37,29,24,35
forth,20,10,16,35
games,62,28,47,34
yesterday,11,15,36,34
first,45,40,34,34
made,63,27,30,34
thing,47,50,25,34
wasn't,18,10,16,34
does,28,25,48,33
early,51,36,37,33
expect,42,41,36,33
around,45,39,35,33
moving,24,39,26,33
again,27,25,24,33
players,31,29,23,33
haven't,14,20,45,32
practice,23,45,37,32
prepare,34,26,31,32
yards,27,25,21,32
effort,5,14,19,32
little,47,33,17,32
left,24,28,17,32
tackle,23,15,17,32
nature,20,15,17,32
regard,5,10,17,32
passing,15,9,15,32
man,74,51,37,31
best,39,23,25,31
different,42,23,14,31
splash,2,7,10,31
excited,37,24,25,30
tape,20,28,24,30
situations,21,16,23,30
believe,8,16,21,30
since,14,18,20,30
every,35,21,11,30
anything,28,37,46,29
these,35,40,31,29
past,12,25,30,29
level,24,23,30,29
talking,29,41,29,29
portions,11,11,26,29
similar,27,12,19,29
business,29,10,19,29
couple,14,20,18,29
manner,3,8,28,28
punt,6,17,17,28
can't,18,16,15,28
appropriate,12,9,9,28
minimize,10,6,9,28
men,42,41,40,27
now,45,47,35,27
positive,4,14,23,27
process,15,23,21,27
few,7,25,20,27
coming,30,22,20,27
issues,24,13,19,27
together,23,29,32,26
acknowledge,26,26,27,26
maybe,23,12,27,26
ago,35,21,23,26
multiple,9,16,11,26
actions,1,1,4,26
third,18,30,38,25
area,22,47,32,25
talk,23,19,25,25
give,17,21,19,25
coverage,17,15,19,25
worked,15,10,19,25
points,20,7,16,25
times,19,19,14,25
doesn't,35,17,14,25
linebacker,19,22,11,25
sometimes,11,21,11,25
myriad,11,6,10,25
normal,16,5,5,25
whether,38,20,35,24
given,35,20,25,24
move,25,37,24,24
understand,17,21,16,24
efforts,2,2,15,24
largely,3,3,10,24
jones,3,4,8,24
say,24,30,32,23
ability,8,21,25,23
himself,15,17,25,23
defensive,21,15,25,23
opportunities,24,23,24,23
offensive,18,18,23,23
